1742872703.552211789,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872703.736816118,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872703.935900309,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872704.133613392,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872704.329685271,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872704.548846416,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872704.740745444,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872704.952411181,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872705.127868562,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872705.352608011,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872705.530472085,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872705.738103984,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872705.938403636,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872706.135395568,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872706.331667230,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872706.528883148,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872706.727468282,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872706.929153561,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872707.150140854,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872707.330302608,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872707.553590944,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872707.749543513,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
